Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-04-01,20:00,Air Conditioner,1500,2.16,3.24,0.454
2025-04-01,20:00,Electric Fan,75,2.46,0.184,0.026
2025-04-01,06:00,Water Heater,2000,0.9,1.8,0.252
2025-04-01,18:00,Refrigerator,150,21.14,3.171,0.444
2025-04-01,21:00,Television,120,3.01,0.361,0.051
2025-04-01,06:00,Lights,60,4.25,0.255,0.036
2025-04-01,08:00,Water Pump,750,0.52,0.39,0.055
2025-04-01,13:00,Microwave,1100,0.32,0.352,0.049
2025-04-01,08:00,Microwave,1100,0.3,0.33,0.046
2025-04-01,13:00,Microwave,1100,0.3,0.33,0.046
2025-04-01,13:00,Electric Oven,2200,0.45,0.99,0.139
2025-04-01,07:00,Electric Oven,2200,0.45,0.99,0.139
2025-04-01,08:00,Electric Oven,2200,0.3,0.66,0.092
2025-04-01,14:00,Computer,200,2.55,0.51,0.071
2025-04-01,14:00,Laptop,65,4.4,0.286,0.04
2025-04-01,19:00,Kitchen Appliances,800,1.0,0.8,0.112
2025-04-01,06:00,Other Appliances,100,1.76,0.176,0.025
2025-04-02,20:00,Air Conditioner,1500,1.77,2.655,0.372
2025-04-02,14:00,Electric Fan,75,2.38,0.178,0.025
2025-04-02,06:00,Water Heater,2000,0.89,1.78,0.249
2025-04-02,00:00,Refrigerator,150,24.0,3.6,0.504
2025-04-02,21:00,Television,120,3.95,0.474,0.066
2025-04-02,20:00,Lights,60,5.13,0.308,0.043
2025-04-02,07:00,Water Pump,750,0.5,0.375,0.053
2025-04-02,19:00,Microwave,1100,0.26,0.286,0.04
2025-04-02,08:00,Electric Oven,2200,0.5,1.1,0.154
2025-04-02,08:00,Electric Oven,2200,0.45,0.99,0.139
2025-04-02,08:00,Electric Oven,2200,0.46,1.012,0.142
2025-04-02,21:00,Computer,200,2.64,0.528,0.074
2025-04-02,14:00,Laptop,65,4.12,0.268,0.038
2025-04-02,13:00,Kitchen Appliances,800,0.86,0.688,0.096
2025-04-02,18:00,Other Appliances,100,2.28,0.228,0.032
2025-04-03,14:00,Air Conditioner,1500,2.13,3.195,0.447
2025-04-03,22:00,Electric Fan,75,2.53,0.19,0.027
2025-04-03,19:00,Water Heater,2000,0.94,1.88,0.263
2025-04-03,12:00,Refrigerator,150,24.0,3.6,0.504
2025-04-03,21:00,Television,120,3.72,0.446,0.062
2025-04-03,07:00,Lights,60,5.2,0.312,0.044
2025-04-03,08:00,Water Pump,750,0.53,0.398,0.056
2025-04-03,13:00,Microwave,1100,0.25,0.275,0.039
2025-04-03,20:00,Electric Oven,2200,0.41,0.902,0.126
2025-04-03,19:00,Electric Oven,2200,0.42,0.924,0.129
2025-04-03,20:00,Computer,200,3.16,0.632,0.088
2025-04-03,15:00,Laptop,65,3.74,0.243,0.034
2025-04-03,07:00,Kitchen Appliances,800,0.73,0.584,0.082
2025-04-03,06:00,Other Appliances,100,1.82,0.182,0.025
2025-04-04,22:00,Air Conditioner,1500,2.23,3.345,0.468
2025-04-04,13:00,Electric Fan,75,2.41,0.181,0.025
2025-04-04,19:00,Water Heater,2000,0.89,1.78,0.249
2025-04-04,00:00,Refrigerator,150,21.87,3.28,0.459
2025-04-04,20:00,Television,120,3.35,0.402,0.056
2025-04-04,21:00,Lights,60,4.4,0.264,0.037
2025-04-04,06:00,Water Pump,750,0.51,0.383,0.054
2025-04-04,07:00,Microwave,1100,0.28,0.308,0.043
2025-04-04,19:00,Microwave,1100,0.31,0.341,0.048
2025-04-04,07:00,Electric Oven,2200,0.51,1.122,0.157
2025-04-04,13:00,Electric Oven,2200,0.28,0.616,0.086
2025-04-04,15:00,Computer,200,2.73,0.546,0.076
2025-04-04,21:00,Laptop,65,4.4,0.286,0.04
2025-04-04,08:00,Kitchen Appliances,800,1.17,0.936,0.131
2025-04-04,06:00,Other Appliances,100,1.88,0.188,0.026
2025-04-05,13:00,Air Conditioner,1500,2.57,3.855,0.54
2025-04-05,14:00,Electric Fan,75,2.71,0.203,0.028
2025-04-05,06:00,Water Heater,2000,1.03,2.06,0.288
2025-04-05,18:00,Refrigerator,150,24.0,3.6,0.504
2025-04-05,20:00,Television,120,3.76,0.451,0.063
2025-04-05,21:00,Lights,60,5.11,0.307,0.043
2025-04-05,11:00,Washing Machine,500,0.77,0.385,0.054
2025-04-05,07:00,Water Pump,750,0.5,0.375,0.053
2025-04-05,20:00,Microwave,1100,0.25,0.275,0.039
2025-04-05,07:00,Microwave,1100,0.26,0.286,0.04
2025-04-05,08:00,Electric Oven,2200,0.41,0.902,0.126
2025-04-05,20:00,Electric Oven,2200,0.4,0.88,0.123
2025-04-05,20:00,Computer,200,3.1,0.62,0.087
2025-04-05,09:00,Laptop,65,4.65,0.302,0.042
2025-04-05,08:00,Kitchen Appliances,800,0.92,0.736,0.103
2025-04-05,20:00,Kitchen Appliances,800,1.27,1.016,0.142
2025-04-05,00:00,Other Appliances,100,2.32,0.232,0.032
2025-04-06,15:00,Air Conditioner,1500,1.98,2.97,0.416
2025-04-06,22:00,Electric Fan,75,2.94,0.221,0.031
2025-04-06,07:00,Water Heater,2000,1.0,2.0,0.28
2025-04-06,12:00,Refrigerator,150,24.0,3.6,0.504
2025-04-06,19:00,Television,120,3.88,0.466,0.065
2025-04-06,21:00,Lights,60,5.55,0.333,0.047
2025-04-06,16:00,Washing Machine,500,0.79,0.395,0.055
2025-04-06,08:00,Water Pump,750,0.58,0.435,0.061
2025-04-06,08:00,Microwave,1100,0.22,0.242,0.034
2025-04-06,08:00,Electric Oven,2200,0.51,1.122,0.157
2025-04-06,20:00,Computer,200,3.94,0.788,0.11
2025-04-06,21:00,Laptop,65,4.65,0.302,0.042
2025-04-06,08:00,Kitchen Appliances,800,1.2,0.96,0.134
2025-04-06,19:00,Kitchen Appliances,800,1.02,0.816,0.114
2025-04-06,07:00,Kitchen Appliances,800,1.09,0.872,0.122
2025-04-06,06:00,Other Appliances,100,2.47,0.247,0.035
2025-04-07,22:00,Air Conditioner,1500,1.67,2.505,0.351
2025-04-07,13:00,Electric Fan,75,2.47,0.185,0.026
2025-04-07,07:00,Water Heater,2000,0.73,1.46,0.204
2025-04-07,00:00,Refrigerator,150,24.0,3.6,0.504
2025-04-07,19:00,Television,120,3.58,0.43,0.06
2025-04-07,20:00,Lights,60,5.62,0.337,0.047
2025-04-07,06:00,Water Pump,750,0.49,0.367,0.051
2025-04-07,20:00,Microwave,1100,0.26,-0.286,0.04
2025-04-07,07:00,Electric Oven,2200,0.45,0.99,0.139
2025-04-07,20:00,Computer,200,2.87,0.574,0.08
2025-04-07,21:00,Laptop,65,3.53,0.229,0.032
2025-04-07,17:00,Iron,1100,0.35,0.385,0.054
2025-04-07,20:00,Kitchen Appliances,800,0.98,0.784,0.11
2025-04-07,18:00,Other Appliances,100,1.83,0.183,0.026
2025-04-08,21:00,Air Conditioner,1500,2.12,3.18,0.445
2025-04-08,22:00,Electric Fan,75,2.44,0.183,0.026
