Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-08-01,21:00,Air Conditioner,1500,4.17,6.255,0.876
2025-08-01,22:00,Electric Fan,75,5.23,0.392,0.055
2025-08-01,19:00,Water Heater,2000,0.15,0.3,0.042
2025-08-01,12:00,Refrigerator,150,20.73,3.11,0.435
2025-08-01,20:00,Television,120,3.67,0.44,0.062
2025-08-01,20:00,Lights,60,4.46,0.268,0.038
2025-08-01,07:00,Water Pump,750,0.57,0.427,0.06
2025-08-01,07:00,Microwave,1100,0.28,0.308,0.043
2025-08-01,08:00,Electric Oven,2200,0.31,0.682,0.095
2025-08-01,20:00,Computer,200,3.41,0.682,0.095
2025-08-01,20:00,Laptop,65,4.06,0.264,0.037
2025-08-01,10:00,Iron,1100,0.33,0.363,0.051
2025-08-01,08:00,Kitchen Appliances,800,0.93,0.744,0.104
2025-08-01,07:00,Kitchen Appliances,800,0.94,0.752,0.105
2025-08-01,18:00,Other Appliances,100,2.27,0.227,0.032
2025-08-02,14:00,Air Conditioner,1500,5.66,8.49,1.189
2025-08-02,13:00,Electric Fan,75,6.74,0.505,0.071
2025-08-02,19:00,Water Heater,2000,0.22,0.44,0.062
2025-08-02,06:00,Refrigerator,150,24.0,3.6,0.504
2025-08-02,21:00,Television,120,4.28,0.514,0.072
2025-08-02,21:00,Lights,60,6.02,0.361,0.051
2025-08-02,17:00,Washing Machine,500,0.66,0.33,0.046
2025-08-02,08:00,Water Pump,750,0.55,0.413,0.058
2025-08-02,07:00,Microwave,1100,0.19,0.209,0.029
2025-08-02,19:00,Microwave,1100,0.28,0.308,0.043
2025-08-02,13:00,Electric Oven,2200,0.37,0.814,0.114
2025-08-02,10:00,Computer,200,3.74,0.748,0.105
2025-08-02,10:00,Laptop,65,5.11,0.332,0.046
2025-08-02,11:00,Iron,1100,0.39,0.429,0.06
2025-08-02,07:00,Kitchen Appliances,800,1.17,0.936,0.131
2025-08-02,12:00,Other Appliances,100,2.08,0.208,0.029
2025-08-03,20:00,Air Conditioner,1500,5.14,7.71,1.079
2025-08-03,15:00,Electric Fan,75,5.86,0.44,0.062
