Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-02-01,13:00,Air Conditioner,1500,1.12,1.68,0.235
2025-02-01,13:00,Electric Fan,75,1.38,0.103,0.014
2025-02-01,07:00,Water Heater,2000,1.81,3.62,0.507
2025-02-01,12:00,Refrigerator,150,24.0,3.6,0.504
2025-02-01,21:00,Television,120,3.85,0.462,0.065
2025-02-01,07:00,Lights,60,6.29,0.377,0.053
2025-02-01,11:00,Washing Machine,500,0.67,0.335,0.047
2025-02-01,08:00,Water Pump,750,0.62,0.465,0.065
2025-02-01,20:00,Microwave,1100,0.24,0.264,0.037
2025-02-01,19:00,Microwave,1100,0.29,0.319,0.045
2025-02-01,20:00,Microwave,1100,0.28,0.308,0.043
2025-02-01,13:00,Electric Oven,2200,0.49,1.078,0.151
2025-02-01,07:00,Electric Oven,2200,0.32,0.704,0.099
2025-02-01,21:00,Computer,200,3.42,0.684,0.096
2025-02-01,14:00,Laptop,65,4.33,0.281,0.039
2025-02-01,07:00,Kitchen Appliances,800,0.97,0.776,0.109
2025-02-01,13:00,Kitchen Appliances,800,0.92,0.736,0.103
2025-02-01,07:00,Kitchen Appliances,800,0.75,0.6,0.084
2025-02-01,18:00,Other Appliances,100,2.38,0.238,0.033
2025-02-02,21:00,Air Conditioner,1500,1.02,1.53,0.214
2025-02-02,22:00,Electric Fan,75,1.57,0.118,0.017
2025-02-02,20:00,Water Heater,2000,2.01,4.02,0.563
2025-02-02,06:00,Refrigerator,150,24.0,3.6,0.504
2025-02-02,20:00,Television,120,3.81,0.457,0.064
2025-02-02,06:00,Lights,60,5.75,0.345,0.048
2025-02-02,08:00,Water Pump,750,0.63,0.472,0.066
2025-02-02,19:00,Microwave,1100,0.18,0.198,0.028
2025-02-02,13:00,Electric Oven,2200,0.37,0.814,0.114
2025-02-02,14:00,Computer,200,3.33,0.666,0.093
2025-02-02,09:00,Laptop,65,4.85,0.315,0.044
2025-02-02,19:00,Kitchen Appliances,800,1.03,0.824,0.115
2025-02-02,06:00,Other Appliances,100,2.15,0.215,0.03
2025-02-03,21:00,Air Conditioner,1500,0.86,1.29,0.181
2025-02-03,15:00,Electric Fan,75,1.26,0.095,0.013
2025-02-03,20:00,Water Heater,2000,1.47,2.94,0.412
2025-02-03,00:00,Refrigerator,150,21.33,3.199,0.448
2025-02-03,20:00,Television,120,3.3,0.396,0.055
