Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-01-01,13:00,Air Conditioner,1500,0.78,1.17,0.164
2025-01-01,14:00,Electric Fan,75,1.07,0.08,0.011
2025-01-01,06:00,Water Heater,2000,1.54,3.08,0.431
2025-01-01,00:00,Refrigerator,150,24.0,3.6,0.504
2025-01-01,19:00,Television,120,3.6,0.432,0.06
2025-01-01,07:00,Lights,60,4.29,0.257,0.036
2025-01-01,08:00,Water Pump,750,0.51,0.383,0.054
2025-01-01,20:00,Microwave,1100,0.21,0.231,0.032
2025-01-01,07:00,Microwave,1100,0.22,0.242,0.034
2025-01-01,08:00,Microwave,1100,0.29,0.319,0.045
2025-01-01,08:00,Electric Oven,2200,0.35,0.77,0.108
2025-01-01,13:00,Electric Oven,2200,0.51,1.122,0.157
2025-01-01,15:00,Computer,200,2.64,0.528,0.074
2025-01-01,14:00,Laptop,65,3.52,0.229,0.032
2025-01-01,19:00,Kitchen Appliances,800,1.28,1.024,0.143
2025-01-01,12:00,Other Appliances,100,1.75,0.175,0.025
2025-01-02,21:00,Air Conditioner,1500,0.82,1.23,0.172
2025-01-02,15:00,Electric Fan,75,1.12,0.084,0.012
2025-01-02,06:00,Water Heater,2000,1.72,3.44,0.482
2025-01-02,06:00,Refrigerator,150,20.73,3.11,0.435
2025-01-02,19:00,Television,120,3.79,0.455,0.064
2025-01-02,06:00,Lights,60,5.53,0.332,0.046
2025-01-02,11:00,Washing Machine,500,0.91,0.455,0.064
2025-01-02,06:00,Water Pump,750,0.48,0.36,0.05
2025-01-02,08:00,Microwave,1100,0.27,0.297,0.042
2025-01-02,19:00,Electric Oven,2200,0.32,0.704,0.099
2025-01-02,21:00,Computer,200,2.79,0.558,0.078
2025-01-02,10:00,Laptop,65,4.23,0.275,0.039
2025-01-02,13:00,Kitchen Appliances,800,1.19,0.952,0.133
2025-01-02,00:00,Other Appliances,100,1.94,0.194,0.027
2025-01-03,21:00,Air Conditioner,1500,0.68,1.02,0.143
2025-01-03,15:00,Electric Fan,75,1.11,0.083,0.012
2025-01-03,20:00,Water Heater,2000,1.54,3.08,0.431
2025-01-03,18:00,Refrigerator,150,23.25,3.487,0.488
2025-01-03,19:00,Television,120,3.13,0.376,0.053
2025-01-03,21:00,Lights,60,4.62,0.277,0.039
2025-01-03,08:00,Water Pump,750,0.49,0.367,0.051
2025-01-03,08:00,Microwave,1100,0.32,0.352,0.049
2025-01-03,07:00,Electric Oven,2200,0.46,1.012,0.142
2025-01-03,10:00,Computer,200,2.69,0.538,0.075
2025-01-03,15:00,Laptop,65,4.35,0.283,0.04
2025-01-03,20:00,Kitchen Appliances,800,1.02,0.816,0.114
2025-01-03,07:00,Kitchen Appliances,800,1.22,0.976,0.137
2025-01-03,07:00,Kitchen Appliances,800,1.11,0.888,0.124
2025-01-03,12:00,Other Appliances,100,2.11,0.211,0.03
2025-01-04,15:00,Air Conditioner,1500,0.93,1.395,0.195
2025-01-04,20:00,Electric Fan,75,1.02,0.076,0.011
2025-01-04,06:00,Water Heater,2000,1.73,3.46,0.484
2025-01-04,12:00,Refrigerator,150,24.0,3.6,0.504
2025-01-04,19:00,Television,120,4.59,0.551,0.077
2025-01-04,06:00,Lights,60,5.76,0.346,0.048
2025-01-04,11:00,Washing Machine,500,0.84,0.42,0.059
2025-01-04,06:00,Water Pump,750,0.52,0.39,0.055
2025-01-04,19:00,Microwave,1100,0.26,0.286,0.04
2025-01-04,13:00,Electric Oven,2200,0.49,1.078,0.151
2025-01-04,08:00,Electric Oven,2200,0.34,0.748,0.105
2025-01-04,09:00,Computer,200,3.84,0.768,0.108
2025-01-04,15:00,Laptop,65,4.03,0.262,0.037
2025-01-04,19:00,Kitchen Appliances,800,0.78,0.624,0.087
2025-01-04,06:00,Other Appliances,100,2.61,0.261,0.037
2025-01-05,21:00,Air Conditioner,1500,0.8,1.2,0.168
2025-01-05,14:00,Electric Fan,75,1.12,0.084,0.012
2025-01-05,07:00,Water Heater,2000,2.18,4.36,0.61
2025-01-05,18:00,Refrigerator,150,24.0,3.6,0.504
2025-01-05,21:00,Television,120,4.62,0.554,0.078
2025-01-05,21:00,Lights,60,5.53,0.332,0.046
2025-01-05,10:00,Washing Machine,500,0.62,0.31,0.043
2025-01-05,06:00,Water Pump,750,0.59,0.443,0.062
2025-01-05,07:00,Microwave,1100,0.19,0.209,0.029
2025-01-05,07:00,Electric Oven,2200,0.49,1.078,0.151
2025-01-05,14:00,Computer,200,3.46,0.692,0.097
2025-01-05,10:00,Laptop,65,4.83,0.314,0.044
2025-01-05,19:00,Kitchen Appliances,800,0.85,0.68,0.095
2025-01-05,08:00,Kitchen Appliances,800,1.18,0.944,0.132
2025-01-05,19:00,Kitchen Appliances,800,0.76,0.608,0.085
2025-01-05,18:00,Other Appliances,100,2.2,0.22,0.031
2025-01-06,22:00,Air Conditioner,1500,0.74,1.11,0.155
2025-01-06,22:00,Electric Fan,75,0.87,0.065,0.009
2025-01-06,06:00,Water Heater,2000,1.92,3.84,0.538
2025-01-06,12:00,Refrigerator,150,20.84,3.126,0.438
2025-01-06,19:00,Television,120,3.82,0.458,0.064
2025-01-06,07:00,Lights,60,4.62,0.277,0.039
2025-01-06,17:00,Washing Machine,500,0.67,0.335,0.047
2025-01-06,06:00,Water Pump,750,0.46,0.345,0.048
2025-01-06,20:00,Microwave,1100,0.18,0.198,0.028
2025-01-06,08:00,Electric Oven,2200,0.5,1.1,0.154
2025-01-06,15:00,Computer,200,2.7,0.54,0.076
2025-01-06,15:00,Laptop,65,3.98,0.259,0.036
2025-01-06,17:00,Iron,1100,0.24,0.264,0.037
2025-01-06,20:00,Kitchen Appliances,800,0.87,0.696,0.097
2025-01-06,19:00,Kitchen Appliances,800,1.1,0.88,0.123
2025-01-06,13:00,Kitchen Appliances,800,0.79,0.632,0.088
2025-01-06,00:00,Other Appliances,100,1.83,0.183,0.026
2025-01-07,21:00,Air Conditioner,1500,0.77,1.155,0.162
2025-01-07,15:00,Electric Fan,75,0.87,0.065,0.009
