Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-06-01,21:00,Air Conditioner,1500,4.68,7.02,0.983
2025-06-01,15:00,Electric Fan,75,6.03,0.452,0.063
2025-06-01,06:00,Water Heater,2000,0.25,0.5,0.07
2025-06-01,18:00,Refrigerator,150,24.0,3.6,0.504
2025-06-01,19:00,Television,120,4.24,0.509,0.071
2025-06-01,20:00,Lights,60,6.57,0.394,0.055
2025-06-01,10:00,Washing Machine,500,0.83,0.415,0.058
2025-06-01,07:00,Water Pump,750,0.65,0.487,0.068
2025-06-01,13:00,Microwave,1100,0.23,0.253,0.035
2025-06-01,13:00,Microwave,1100,0.18,0.198,0.028
2025-06-01,19:00,Microwave,1100,0.23,0.253,0.035
2025-06-01,19:00,Electric Oven,2200,0.33,0.726,0.102
2025-06-01,15:00,Computer,200,3.7,0.74,0.104
2025-06-01,14:00,Laptop,65,5.02,0.326,0.046
2025-06-01,20:00,Kitchen Appliances,800,0.78,0.624,0.087
2025-06-01,08:00,Kitchen Appliances,800,1.06,0.848,0.119
2025-06-01,19:00,Kitchen Appliances,800,0.82,0.656,0.092
2025-06-01,12:00,Other Appliances,100,2.64,0.264,0.037
2025-06-02,21:00,Air Conditioner,1500,3.39,5.085,0.712
2025-06-02,13:00,Electric Fan,75,5.6,0.42,0.059
2025-06-02,19:00,Water Heater,2000,0.2,0.4,0.056
2025-06-02,18:00,Refrigerator,150,23.38,3.507,0.491
2025-06-02,19:00,Television,120,3.72,0.446,0.062
2025-06-02,20:00,Lights,60,4.55,0.273,0.038
2025-06-02,16:00,Washing Machine,500,0.91,0.455,0.064
2025-06-02,07:00,Water Pump,750,0.55,0.413,0.058
2025-06-02,07:00,Microwave,1100,0.21,0.231,0.032
2025-06-02,13:00,Microwave,1100,0.2,0.22,0.031
2025-06-02,19:00,Microwave,1100,0.32,0.352,0.049
2025-06-02,19:00,Electric Oven,2200,0.38,0.836,0.117
2025-06-02,08:00,Electric Oven,2200,0.5,1.1,0.154
2025-06-02,14:00,Computer,200,2.58,0.516,0.072
2025-06-02,09:00,Laptop,65,3.99,0.259,0.036
2025-06-02,19:00,Kitchen Appliances,800,1.22,0.976,0.137
2025-06-02,07:00,Kitchen Appliances,800,1.28,1.024,0.143
2025-06-02,20:00,Kitchen Appliances,800,0.92,0.736,0.103
2025-06-02,12:00,Other Appliances,100,1.71,0.171,0.024
