Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-03-01,22:00,Air Conditioner,1500,1.63,2.445,0.342
2025-03-01,20:00,Electric Fan,75,2.02,0.151,0.021
2025-03-01,20:00,Water Heater,2000,1.2,2.4,0.336
2025-03-01,18:00,Refrigerator,150,24.0,3.6,0.504
2025-03-01,20:00,Television,120,4.08,0.49,0.069
2025-03-01,21:00,Lights,60,6.1,0.366,0.051
2025-03-01,06:00,Water Pump,750,0.51,0.383,0.054
2025-03-01,20:00,Microwave,1100,0.2,0.22,0.031
2025-03-01,19:00,Microwave,1100,0.18,0.198,0.028
2025-03-01,19:00,Electric Oven,2200,0.51,1.122,0.157
2025-03-01,07:00,Electric Oven,2200,0.31,0.682,0.095
2025-03-01,20:00,Computer,200,3.2,0.64,0.09
2025-03-01,20:00,Laptop,65,4.94,0.321,0.045
2025-03-01,20:00,Kitchen Appliances,800,0.98,0.784,0.11
2025-03-01,08:00,Kitchen Appliances,800,1.11,0.888,0.124
2025-03-01,07:00,Kitchen Appliances,800,0.91,0.728,0.102
2025-03-01,12:00,Other Appliances,100,2.29,0.229,0.032
2025-03-02,13:00,Air Conditioner,1500,1.51,2.265,0.317
2025-03-02,22:00,Electric Fan,75,1.83,0.137,0.019
2025-03-02,19:00,Water Heater,2000,1.23,2.46,0.344
2025-03-02,06:00,Refrigerator,150,24.0,3.6,0.504
2025-03-02,20:00,Television,120,4.05,0.486,0.068
2025-03-02,20:00,Lights,60,5.71,0.343,0.048
2025-03-02,10:00,Washing Machine,500,0.63,0.315,0.044
2025-03-02,06:00,Water Pump,750,0.63,0.472,0.066
2025-03-02,08:00,Microwave,1100,0.27,0.297,0.042
2025-03-02,08:00,Microwave,1100,0.31,0.341,0.048
2025-03-02,19:00,Electric Oven,2200,0.36,0.792,0.111
2025-03-02,10:00,Computer,200,3.92,0.784,0.11
2025-03-02,21:00,Laptop,65,5.01,0.326,0.046
2025-03-02,08:00,Kitchen Appliances,800,1.14,0.912,0.128
2025-03-02,18:00,Other Appliances,100,2.27,0.227,0.032
2025-03-03,22:00,Air Conditioner,1500,1.3,1.95,0.273
2025-03-03,15:00,Electric Fan,75,1.65,0.124,0.017
2025-03-03,06:00,Water Heater,2000,1.29,2.58,0.361
2025-03-03,06:00,Refrigerator,150,24.0,3.6,0.504
2025-03-03,19:00,Television,120,3.36,0.403,0.056
2025-03-03,19:00,Lights,60,4.94,0.296,0.041
2025-03-03,16:00,Washing Machine,500,0.96,0.48,0.067
2025-03-03,08:00,Water Pump,750,0.51,0.383,0.054
2025-03-03,19:00,Microwave,1100,0.23,-0.253,0.035
2025-03-03,20:00,Electric Oven,2200,0.5,1.1,0.154
2025-03-03,08:00,Electric Oven,2200,0.3,0.66,0.092
2025-03-03,10:00,Computer,200,2.83,0.566,0.079
2025-03-03,10:00,Laptop,65,3.77,0.245,0.034
2025-03-03,11:00,Iron,1100,0.3,0.33,0.046
2025-03-03,20:00,Kitchen Appliances,800,0.81,0.648,0.091
2025-03-03,08:00,Kitchen Appliances,800,1.12,0.896,0.125
2025-03-03,19:00,Kitchen Appliances,800,1.03,0.824,0.115
2025-03-03,06:00,Other Appliances,100,1.87,0.187,0.026
2025-03-04,20:00,Air Conditioner,1500,1.27,1.905,0.267
2025-03-04,15:00,Electric Fan,75,1.86,0.14,0.02
2025-03-04,20:00,Water Heater,2000,1.36,2.72,0.381
2025-03-04,18:00,Refrigerator,150,21.38,3.207,0.449
2025-03-04,21:00,Television,120,3.99,0.479,0.067
2025-03-04,20:00,Lights,60,5.23,0.314,0.044
2025-03-04,17:00,Washing Machine,500,0.91,0.455,0.064
2025-03-04,08:00,Water Pump,750,0.45,0.338,0.047
2025-03-04,13:00,Microwave,1100,0.22,0.242,0.034
2025-03-04,19:00,Electric Oven,2200,0.32,0.704,0.099
2025-03-04,19:00,Electric Oven,2200,0.42,0.924,0.129
2025-03-04,09:00,Computer,200,3.04,0.608,0.085
2025-03-04,14:00,Laptop,65,4.09,0.266,0.037
2025-03-04,19:00,Kitchen Appliances,800,1.16,0.928,0.13
2025-03-04,18:00,Other Appliances,100,2.03,0.203,0.028
2025-03-05,22:00,Air Conditioner,1500,1.19,1.785,0.25
2025-03-05,15:00,Electric Fan,75,1.94,0.145,0.02
2025-03-05,06:00,Water Heater,2000,1.33,2.66,0.372
2025-03-05,12:00,Refrigerator,150,23.64,3.546,0.496
2025-03-05,19:00,Television,120,3.88,0.466,0.065
2025-03-05,06:00,Lights,60,4.91,0.295,0.041
2025-03-05,16:00,Washing Machine,500,0.9,0.45,0.063
2025-03-05,08:00,Water Pump,750,0.55,0.413,0.058
2025-03-05,08:00,Microwave,1100,0.27,0.297,0.042
2025-03-05,20:00,Electric Oven,2200,0.42,0.924,0.129
2025-03-05,20:00,Computer,200,2.8,0.56,0.078
2025-03-05,21:00,Laptop,65,3.6,0.234,0.033
2025-03-05,19:00,Kitchen Appliances,800,0.78,0.624,0.087
2025-03-05,12:00,Other Appliances,100,2.25,0.225,0.032
2025-03-06,14:00,Air Conditioner,1500,1.5,2.25,0.315
2025-03-06,14:00,Electric Fan,75,1.91,0.143,0.02
2025-03-06,19:00,Water Heater,2000,1.11,2.22,0.311
2025-03-06,18:00,Refrigerator,150,24.0,3.6,0.504
2025-03-06,21:00,Television,120,3.49,0.419,0.059
2025-03-06,20:00,Lights,60,5.2,0.312,0.044
2025-03-06,10:00,Washing Machine,500,0.9,0.45,0.063
2025-03-06,08:00,Water Pump,750,0.49,0.367,0.051
2025-03-06,19:00,Microwave,1100,0.24,0.264,0.037
2025-03-06,07:00,Microwave,1100,0.22,0.242,0.034
2025-03-06,19:00,Electric Oven,2200,0.46,1.012,0.142
2025-03-06,21:00,Computer,200,3.12,0.624,0.087
2025-03-06,09:00,Laptop,65,3.83,0.249,0.035
2025-03-06,13:00,Kitchen Appliances,800,1.0,0.8,0.112
2025-03-06,12:00,Other Appliances,100,2.2,0.22,0.031
2025-03-07,14:00,Air Conditioner,1500,1.37,2.055,0.288
2025-03-07,20:00,Electric Fan,75,1.84,0.138,0.019
2025-03-07,06:00,Water Heater,2000,1.3,2.6,0.364
2025-03-07,18:00,Refrigerator,150,20.73,3.11,0.435
2025-03-07,19:00,Television,120,2.99,0.359,0.05
2025-03-07,06:00,Lights,60,4.91,0.295,0.041
2025-03-07,11:00,Washing Machine,500,0.97,0.485,0.068
2025-03-07,07:00,Water Pump,750,0.56,0.42,0.059
2025-03-07,13:00,Microwave,1100,0.19,0.209,0.029
2025-03-07,13:00,Microwave,1100,0.21,0.231,0.032
2025-03-07,13:00,Electric Oven,2200,0.29,0.638,0.089
2025-03-07,10:00,Computer,200,3.2,0.64,0.09
2025-03-07,09:00,Laptop,65,3.92,0.255,0.036
2025-03-07,11:00,Iron,1100,0.31,0.341,0.048
2025-03-07,13:00,Kitchen Appliances,800,0.71,0.568,0.08
2025-03-07,19:00,Kitchen Appliances,800,1.19,0.952,0.133
2025-03-07,19:00,Kitchen Appliances,800,1.12,0.896,0.125
2025-03-07,18:00,Other Appliances,100,1.74,0.174,0.024
2025-03-08,13:00,Air Conditioner,1500,1.36,2.04,0.286
2025-03-08,15:00,Electric Fan,75,1.82,0.137,0.019
2025-03-08,07:00,Water Heater,2000,1.54,3.08,0.431
2025-03-08,06:00,Refrigerator,150,24.0,3.6,0.504
2025-03-08,21:00,Television,120,4.2,0.504,0.071
2025-03-08,21:00,Lights,60,5.13,0.308,0.043
2025-03-08,07:00,Water Pump,750,0.52,0.39,0.055
2025-03-08,20:00,Microwave,1100,0.31,0.341,0.048
2025-03-08,07:00,Electric Oven,2200,0.3,0.66,0.092
2025-03-08,09:00,Computer,200,3.08,0.616,0.086
2025-03-08,15:00,Laptop,65,4.72,0.307,0.043
2025-03-08,07:00,Kitchen Appliances,800,0.87,0.696,0.097
2025-03-08,12:00,Other Appliances,100,2.13,0.213,0.03
2025-03-09,22:00,Air Conditioner,1500,1.68,2.52,0.353
2025-03-09,22:00,Electric Fan,75,1.78,0.134,0.019
2025-03-09,07:00,Water Heater,2000,1.54,3.08,0.431
2025-03-09,06:00,Refrigerator,150,24.0,3.6,0.504
2025-03-09,20:00,Television,120,4.32,0.518,0.073
2025-03-09,07:00,Lights,60,6.0,0.36,0.05
2025-03-09,10:00,Washing Machine,500,0.79,0.395,0.055
2025-03-09,06:00,Water Pump,750,0.58,0.435,0.061
2025-03-09,20:00,Microwave,1100,0.19,0.209,0.029
2025-03-09,20:00,Microwave,1100,0.24,0.264,0.037
2025-03-09,07:00,Electric Oven,2200,0.51,1.122,0.157
2025-03-09,07:00,Electric Oven,2200,0.28,0.616,0.086
2025-03-09,08:00,Electric Oven,2200,0.28,0.616,0.086
2025-03-09,09:00,Computer,200,2.97,0.594,0.083
2025-03-09,15:00,Laptop,65,5.22,0.339,0.047
2025-03-09,19:00,Kitchen Appliances,800,0.95,0.76,0.106
2025-03-09,20:00,Kitchen Appliances,800,0.75,0.6,0.084
2025-03-09,08:00,Kitchen Appliances,800,1.02,0.816,0.114
2025-03-09,12:00,Other Appliances,100,2.15,0.215,0.03
2025-03-10,14:00,Air Conditioner,1500,1.18,1.77,0.248
2025-03-10,14:00,Electric Fan,75,2.06,0.154,0.022
2025-03-10,20:00,Water Heater,2000,1.21,2.42,0.339
2025-03-10,00:00,Refrigerator,150,24.0,3.6,0.504
2025-03-10,20:00,Television,120,3.3,0.396,0.055
2025-03-10,07:00,Lights,60,5.34,0.32,0.045
2025-03-10,17:00,Washing Machine,500,0.76,0.38,0.053
2025-03-10,06:00,Water Pump,750,0.52,0.39,0.055
2025-03-10,08:00,Microwave,1100,0.19,0.209,0.029
2025-03-10,13:00,Electric Oven,2200,0.4,0.88,0.123
2025-03-10,21:00,Computer,200,3.02,0.604,0.085
2025-03-10,14:00,Laptop,65,3.71,0.241,0.034
2025-03-10,07:00,Kitchen Appliances,800,1.16,0.928,0.13
2025-03-10,18:00,Other Appliances,100,1.9,0.19,0.027
2025-03-11,13:00,Air Conditioner,1500,1.26,1.89,0.265
2025-03-11,21:00,Electric Fan,75,1.67,0.125,0.018
2025-03-11,20:00,Water Heater,2000,1.25,2.5,0.35
2025-03-11,12:00,Refrigerator,150,23.68,3.552,0.497
2025-03-11,21:00,Television,120,3.03,0.364,0.051
2025-03-11,07:00,Lights,60,4.5,0.27,0.038
2025-03-11,10:00,Washing Machine,500,0.82,0.41,0.057
2025-03-11,08:00,Water Pump,750,0.46,0.345,0.048
2025-03-11,19:00,Microwave,1100,0.21,0.231,0.032
2025-03-11,07:00,Electric Oven,2200,0.32,0.704,0.099
2025-03-11,21:00,Computer,200,3.05,0.61,0.085
2025-03-11,15:00,Laptop,65,4.29,0.279,0.039
2025-03-11,16:00,Iron,1100,0.38,0.418,0.059
2025-03-11,07:00,Kitchen Appliances,800,1.04,0.832,0.116
2025-03-11,00:00,Other Appliances,100,2.0,0.2,0.028
2025-03-12,21:00,Air Conditioner,1500,1.22,1.83,0.256
2025-03-12,20:00,Electric Fan,75,2.06,0.154,0.022
2025-03-12,20:00,Water Heater,2000,1.04,2.08,0.291
2025-03-12,12:00,Refrigerator,150,24.0,3.6,0.504
2025-03-12,21:00,Television,120,3.32,0.398,0.056
2025-03-12,19:00,Lights,60,4.94,0.296,0.041
2025-03-12,08:00,Water Pump,750,0.47,0.352,0.049
2025-03-12,19:00,Microwave,1100,0.26,0.286,0.04
2025-03-12,08:00,Microwave,1100,0.32,0.352,0.049
2025-03-12,19:00,Electric Oven,2200,0.32,0.704,0.099
2025-03-12,20:00,Computer,200,2.57,0.514,0.072
2025-03-12,21:00,Laptop,65,3.82,0.248,0.035
2025-03-12,13:00,Kitchen Appliances,800,1.21,0.968,0.136
2025-03-12,20:00,Kitchen Appliances,800,0.76,0.608,0.085
2025-03-12,19:00,Kitchen Appliances,800,1.29,1.032,0.144
2025-03-12,00:00,Other Appliances,100,2.0,0.2,0.028
2025-03-13,14:00,Air Conditioner,1500,1.54,2.31,0.323
2025-03-13,13:00,Electric Fan,75,1.91,0.143,0.02
2025-03-13,07:00,Water Heater,2000,1.04,2.08,0.291
2025-03-13,18:00,Refrigerator,150,24.0,3.6,0.504
2025-03-13,20:00,Television,120,3.71,0.445,0.062
2025-03-13,06:00,Lights,60,4.94,0.296,0.041
2025-03-13,07:00,Water Pump,750,0.52,0.39,0.055
2025-03-13,08:00,Microwave,1100,0.24,0.264,0.037
2025-03-13,19:00,Electric Oven,2200,0.48,1.056,0.148
2025-03-13,13:00,Electric Oven,2200,0.45,0.99,0.139
2025-03-13,14:00,Computer,200,2.84,0.568,0.08
2025-03-13,10:00,Laptop,65,3.68,0.239,0.033
2025-03-13,19:00,Kitchen Appliances,800,0.8,0.64,0.09
2025-03-13,00:00,Other Appliances,100,1.89,0.189,0.026
2025-03-14,14:00,Air Conditioner,1500,1.36,2.04,0.286
2025-03-14,20:00,Electric Fan,75,1.77,0.133,0.019
2025-03-14,06:00,Water Heater,2000,1.12,2.24,0.314
2025-03-14,12:00,Refrigerator,150,21.05,3.158,0.442
2025-03-14,21:00,Television,120,3.84,0.461,0.065
2025-03-14,07:00,Lights,60,5.15,0.309,0.043
2025-03-14,11:00,Washing Machine,500,0.63,0.315,0.044
2025-03-14,07:00,Water Pump,750,0.57,0.427,0.06
2025-03-14,08:00,Microwave,1100,0.21,0.231,0.032
2025-03-14,19:00,Microwave,1100,0.18,0.198,0.028
2025-03-14,07:00,Electric Oven,2200,0.3,0.66,0.092
2025-03-14,10:00,Computer,200,3.27,0.654,0.092
2025-03-14,09:00,Laptop,65,3.55,0.231,0.032
2025-03-14,07:00,Kitchen Appliances,800,0.92,0.736,0.103
2025-03-14,13:00,Kitchen Appliances,800,1.05,0.84,0.118
2025-03-14,07:00,Kitchen Appliances,800,1.25,1.0,0.14
2025-03-14,00:00,Other Appliances,100,1.71,0.171,0.024
2025-03-15,22:00,Air Conditioner,1500,1.41,2.115,0.296
2025-03-15,14:00,Electric Fan,75,2.03,0.152,0.021
2025-03-15,19:00,Water Heater,2000,1.21,2.42,0.339
2025-03-15,18:00,Refrigerator,150,24.0,3.6,0.504
2025-03-15,21:00,Television,120,3.48,0.418,0.059
2025-03-15,20:00,Lights,60,5.63,0.338,0.047
2025-03-15,16:00,Washing Machine,500,0.76,0.38,0.053
2025-03-15,06:00,,750,0.53,0.398,0.056
2025-03-15,07:00,Microwave,1100,0.31,0.341,0.048
2025-03-15,20:00,Microwave,1100,0.27,0.297,
2025-03-15,13:00,Microwave,1100,0.21,0.231,0.032
2025-03-15,13:00,Electric Oven,2200,0.29,0.638,0.089
2025-03-15,19:00,Electric Oven,2200,0.37,0.814,0.114
2025-03-15,20:00,Electric Oven,2200,0.33,0.726,0.102
2025-03-15,20:00,Computer,200,3.19,0.638,0.089
2025-03-15,15:00,Laptop,65,5.01,0.326,0.046
2025-03-15,20:00,Kitchen Appliances,800,0.91,0.728,0.102
2025-03-15,19:00,Kitchen Appliances,800,1.0,0.8,0.112
2025-03-15,07:00,Kitchen Appliances,800,0.86,0.688,0.096
2025-03-15,06:00,Other Appliances,100,2.18,0.218,0.031
2025-03-16,15:00,Air Conditioner,1500,1.33,1.995,0.279
2025-03-16,20:00,Electric Fan,75,1.8,0.135,0.019
2025-03-16,07:00,Water Heater,2000,1.39,2.78,0.389
2025-03-16,00:00,Refrigerator,150,24.0,3.6,0.504
2025-03-16,19:00,Television,120,3.72,0.446,0.062
2025-03-16,06:00,Lights,60,5.35,0.321,0.045
2025-03-16,07:00,Water Pump,750,0.59,0.443,0.062
2025-03-16,20:00,Microwave,1100,0.2,0.22,0.031
2025-03-16,07:00,Electric Oven,2200,0.5,1.1,0.154
2025-03-16,13:00,Electric Oven,2200,0.45,0.99,0.139
2025-03-16,20:00,Computer,200,3.91,0.782,0.109
2025-03-16,10:00,Laptop,65,4.11,0.267,0.037
2025-03-16,07:00,Kitchen Appliances,800,0.81,0.648,0.091
2025-03-16,08:00,Kitchen Appliances,800,0.75,0.6,0.084
2025-03-16,00:00,Other Appliances,100,2.37,0.237,0.033
2025-03-17,13:00,Air Conditioner,1500,1.36,2.04,0.286
2025-03-17,21:00,Electric Fan,75,1.71,0.128,0.018
2025-03-17,07:00,Water Heater,2000,1.09,2.18,0.305
2025-03-17,06:00,Refrigerator,150,22.85,3.428,0.48
2025-03-17,20:00,Television,120,3.94,0.473,0.066
2025-03-17,07:00,Lights,60,4.34,0.26,0.036
2025-03-17,08:00,Water Pump,750,0.54,0.405,0.057
2025-03-17,19:00,Microwave,1100,0.23,0.253,0.035
2025-03-17,08:00,Electric Oven,2200,0.35,0.77,0.108
2025-03-17,19:00,Electric Oven,2200,0.51,1.122,0.157
2025-03-17,15:00,Computer,200,3.26,0.652,0.091
2025-03-17,10:00,Laptop,65,4.18,0.272,0.038
2025-03-17,20:00,Kitchen Appliances,800,0.83,0.664,0.093
2025-03-17,19:00,Kitchen Appliances,800,1.19,0.952,0.133
2025-03-17,12:00,Other Appliances,100,1.88,0.188,0.026
2025-03-18,22:00,Air Conditioner,1500,1.2,1.8,0.252
2025-03-18,22:00,Electric Fan,75,1.53,0.115,0.016
2025-03-18,20:00,Water Heater,2000,1.36,2.72,0.381
2025-03-18,00:00,Refrigerator,150,24.0,3.6,0.504
2025-03-18,20:00,Television,120,3.17,0.38,0.053
2025-03-18,21:00,Lights,60,5.63,0.338,0.047
2025-03-18,06:00,Water Pump,750,0.57,0.427,0.06
2025-03-18,13:00,Microwave,1100,0.21,0.231,0.032
2025-03-18,13:00,Electric Oven,2200,0.48,1.056,0.148
2025-03-18,14:00,Computer,200,2.95,0.59,0.083
2025-03-18,21:00,Laptop,65,3.65,0.237,0.033
