Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-05-01,21:00,Air Conditioner,1500,2.62,3.93,0.55
2025-05-01,21:00,Electric Fan,75,3.27,0.245,0.034
2025-05-01,07:00,Water Heater,2000,0.55,1.1,0.154
2025-05-01,12:00,Refrigerator,150,22.14,3.321,0.465
2025-05-01,20:00,Television,120,3.79,0.455,0.064
2025-05-01,21:00,Lights,60,5.28,0.317,0.044
2025-05-01,07:00,Water Pump,750,0.49,0.367,0.051
2025-05-01,07:00,Microwave,1100,0.26,0.286,0.04
2025-05-01,08:00,Microwave,1100,0.29,0.319,0.045
2025-05-01,19:00,Electric Oven,2200,0.43,0.946,0.132
2025-05-01,08:00,Electric Oven,2200,0.29,0.638,0.089
2025-05-01,13:00,Electric Oven,2200,0.33,0.726,0.102
2025-05-01,21:00,Computer,200,2.69,0.538,0.075
2025-05-01,09:00,Laptop,65,4.42,0.287,0.04
2025-05-01,11:00,Iron,1100,0.33,0.363,0.051
2025-05-01,07:00,Kitchen Appliances,800,0.71,0.568,0.08
2025-05-01,19:00,Kitchen Appliances,800,0.88,0.704,0.099
2025-05-01,06:00,Other Appliances,100,1.71,0.171,0.024
2025-05-02,14:00,Air Conditioner,1500,2.89,4.335,0.607
2025-05-02,21:00,Electric Fan,75,3.28,0.246,0.034
2025-05-02,20:00,Water Heater,2000,0.52,1.04,0.146
2025-05-02,06:00,Refrigerator,150,24.0,3.6,0.504
2025-05-02,21:00,Television,120,3.7,0.444,0.062
2025-05-02,21:00,Lights,60,4.28,0.257,0.036
2025-05-02,06:00,Water Pump,750,0.46,0.345,0.048
2025-05-02,07:00,Microwave,1100,0.18,0.198,0.028
2025-05-02,13:00,Microwave,1100,0.18,0.198,0.028
2025-05-02,07:00,Electric Oven,2200,0.49,1.078,0.151
2025-05-02,19:00,,2200,0.35,0.77,0.108
2025-05-02,15:00,Computer,200,2.76,0.552,0.077
2025-05-02,21:00,Laptop,65,4.01,0.261,0.037
2025-05-02,10:00,Iron,1100,0.37,0.407,0.057
2025-05-02,07:00,Kitchen Appliances,800,1.04,0.832,0.116
2025-05-02,20:00,Kitchen Appliances,800,0.72,0.576,0.081
2025-05-02,19:00,Kitchen Appliances,800,0.88,0.704,0.099
2025-05-02,06:00,Other Appliances,100,1.94,0.194,0.027
2025-05-03,22:00,Air Conditioner,1500,2.66,3.99,0.559
2025-05-03,22:00,Electric Fan,75,3.96,0.297,0.042
2025-05-03,19:00,Water Heater,2000,0.52,1.04,0.146
2025-05-03,12:00,Refrigerator,150,24.0,3.6,0.504
2025-05-03,19:00,Television,120,4.48,0.538,0.075
2025-05-03,19:00,Lights,60,6.52,0.391,0.055
2025-05-03,11:00,Washing Machine,500,0.75,0.375,0.053
2025-05-03,07:00,Water Pump,750,0.5,0.375,0.053
2025-05-03,20:00,Microwave,1100,0.24,0.264,0.037
2025-05-03,13:00,Electric Oven,2200,0.5,1.1,0.154
2025-05-03,08:00,Electric Oven,2200,0.39,0.858,0.12
2025-05-03,10:00,Computer,200,3.15,-0.63,0.088
2025-05-03,21:00,Laptop,65,4.71,0.306,0.043
2025-05-03,08:00,Kitchen Appliances,800,0.96,0.768,0.108
2025-05-03,06:00,Other Appliances,100,2.41,0.241,0.034
2025-05-04,21:00,Air Conditioner,1500,2.93,4.395,0.615
2025-05-04,22:00,Electric Fan,75,4.18,0.314,0.044
2025-05-04,19:00,Water Heater,2000,0.49,0.98,0.137
2025-05-04,06:00,Refrigerator,150,24.0,3.6,0.504
2025-05-04,20:00,Television,120,4.3,0.516,0.072
2025-05-04,20:00,Lights,60,6.41,0.385,0.054
2025-05-04,16:00,Washing Machine,500,0.88,0.44,0.062
2025-05-04,06:00,Water Pump,750,0.51,0.383,0.054
2025-05-04,20:00,Microwave,1100,0.18,0.198,0.028
2025-05-04,08:00,Electric Oven,2200,0.42,0.924,0.129
2025-05-04,14:00,Computer,200,3.64,0.728,0.102
2025-05-04,15:00,Laptop,65,4.02,0.261,0.037
2025-05-04,19:00,Kitchen Appliances,800,0.81,0.648,0.091
2025-05-04,08:00,Kitchen Appliances,800,0.99,0.792,0.111
2025-05-04,06:00,Other Appliances,100,2.07,0.207,0.029
2025-05-05,13:00,Air Conditioner,1500,2.32,3.48,0.487
2025-05-05,20:00,Electric Fan,75,4.06,0.304,0.043
2025-05-05,07:00,Water Heater,2000,0.44,0.88,0.123
2025-05-05,00:00,Refrigerator,150,24.0,3.6,0.504
2025-05-05,20:00,Television,120,3.16,0.379,0.053
2025-05-05,20:00,Lights,60,5.55,0.333,0.047
2025-05-05,07:00,Water Pump,750,0.56,0.42,0.059
2025-05-05,19:00,Microwave,1100,0.27,0.297,0.042
2025-05-05,20:00,Electric Oven,2200,0.43,0.946,0.132
2025-05-05,20:00,Electric Oven,2200,0.42,0.924,0.129
2025-05-05,07:00,Electric Oven,2200,0.43,0.946,0.132
2025-05-05,15:00,Computer,200,3.02,0.604,0.085
2025-05-05,09:00,Laptop,65,3.95,0.257,0.036
2025-05-05,10:00,Iron,1100,0.32,0.352,0.049
2025-05-05,19:00,Kitchen Appliances,800,0.81,0.648,0.091
2025-05-05,12:00,Other Appliances,100,1.94,0.194,0.027
2025-05-06,15:00,Air Conditioner,1500,2.92,4.38,0.613
2025-05-06,20:00,Electric Fan,75,3.56,0.267,0.037
2025-05-06,06:00,Water Heater,2000,0.45,0.9,0.126
2025-05-06,06:00,Refrigerator,150,24.0,3.6,0.504
2025-05-06,21:00,Television,120,3.46,0.415,0.058
2025-05-06,21:00,Lights,60,4.93,0.296,0.041
2025-05-06,08:00,Water Pump,750,0.57,0.427,0.06
2025-05-06,19:00,Microwave,1100,0.24,0.264,0.037
2025-05-06,19:00,Microwave,1100,0.18,0.198,0.028
2025-05-06,08:00,Microwave,1100,0.26,0.286,0.04
2025-05-06,08:00,Electric Oven,2200,0.34,0.748,0.105
2025-05-06,09:00,Computer,200,3.2,0.64,0.09
2025-05-06,21:00,Laptop,65,3.51,0.228,0.032
2025-05-06,20:00,Kitchen Appliances,800,1.14,0.912,0.128
2025-05-06,08:00,Kitchen Appliances,800,1.07,0.856,0.12
2025-05-06,19:00,Kitchen Appliances,800,0.93,0.744,0.104
2025-05-06,06:00,Other Appliances,100,1.73,0.173,0.024
2025-05-07,21:00,Air Conditioner,1500,3.03,4.545,0.636
2025-05-07,14:00,Electric Fan,75,4.0,0.3,0.042
2025-05-07,07:00,Water Heater,2000,0.43,0.86,0.12
2025-05-07,00:00,Refrigerator,150,21.69,3.253,0.455
2025-05-07,20:00,Television,120,3.42,0.41,0.057
2025-05-07,20:00,Lights,60,5.35,0.321,0.045
2025-05-07,11:00,Washing Machine,500,0.94,0.47,0.066
2025-05-07,07:00,Water Pump,750,0.43,0.323,0.045
2025-05-07,20:00,Microwave,1100,0.3,0.33,0.046
2025-05-07,20:00,Microwave,1100,0.3,0.33,0.046
2025-05-07,08:00,Microwave,1100,0.31,0.341,0.048
2025-05-07,19:00,Electric Oven,2200,0.39,0.858,0.12
2025-05-07,20:00,Electric Oven,2200,0.3,0.66,0.092
2025-05-07,20:00,Electric Oven,2200,0.28,0.616,0.086
2025-05-07,21:00,Computer,200,2.8,0.56,0.078
2025-05-07,10:00,Laptop,65,4.07,0.265,0.037
2025-05-07,10:00,Iron,1100,0.34,0.374,0.052
2025-05-07,20:00,Kitchen Appliances,800,1.1,0.88,0.123
2025-05-07,00:00,Other Appliances,100,1.88,0.188,0.026
2025-05-08,20:00,Air Conditioner,1500,2.33,3.495,0.489
2025-05-08,14:00,Electric Fan,75,4.13,0.31,0.043
2025-05-08,07:00,Water Heater,2000,0.5,1.0,0.14
2025-05-08,12:00,Refrigerator,150,24.0,3.6,0.504
2025-05-08,19:00,Television,120,3.95,0.474,0.066
2025-05-08,19:00,Lights,60,5.4,0.324,0.045
2025-05-08,17:00,Washing Machine,500,0.63,0.315,0.044
2025-05-08,06:00,Water Pump,750,0.55,0.413,0.058
2025-05-08,13:00,Microwave,1100,0.19,0.209,0.029
2025-05-08,08:00,Electric Oven,2200,0.41,0.902,0.126
2025-05-08,07:00,Electric Oven,2200,0.43,0.946,0.132
2025-05-08,20:00,Electric Oven,2200,0.42,0.924,0.129
2025-05-08,15:00,Computer,200,3.44,0.688,0.096
2025-05-08,20:00,Laptop,65,4.27,0.278,0.039
2025-05-08,20:00,Kitchen Appliances,800,0.86,0.688,0.096
2025-05-08,13:00,Kitchen Appliances,800,1.3,1.04,0.146
2025-05-08,18:00,Other Appliances,100,2.26,0.226,0.032
2025-05-09,22:00,Air Conditioner,1500,2.72,4.08,0.571
2025-05-09,14:00,Electric Fan,75,3.6,0.27,0.038
2025-05-09,07:00,Water Heater,2000,0.54,1.08,0.151
2025-05-09,06:00,Refrigerator,150,24.0,3.6,0.504
2025-05-09,19:00,Television,120,2.98,0.358,0.05
2025-05-09,06:00,Lights,60,4.95,0.297,0.042
2025-05-09,17:00,Washing Machine,500,0.83,0.415,0.058
2025-05-09,07:00,Water Pump,750,0.49,0.367,0.051
2025-05-09,08:00,Microwave,1100,0.18,0.198,0.028
2025-05-09,13:00,Electric Oven,2200,0.47,1.034,0.145
2025-05-09,20:00,Electric Oven,2200,0.35,0.77,0.108
2025-05-09,09:00,Computer,200,2.84,0.568,0.08
2025-05-09,14:00,Laptop,65,3.54,0.23,0.032
2025-05-09,08:00,Kitchen Appliances,800,1.2,0.96,0.134
2025-05-09,12:00,Other Appliances,100,1.9,0.19,0.027
2025-05-10,20:00,Air Conditioner,1500,3.5,5.25,0.735
2025-05-10,13:00,Electric Fan,75,4.66,0.349,0.049
2025-05-10,20:00,Water Heater,2000,0.58,1.16,0.162
2025-05-10,18:00,Refrigerator,150,24.0,3.6,0.504
2025-05-10,21:00,Television,120,4.5,0.54,0.076
2025-05-10,20:00,Lights,60,6.43,0.386,0.054
2025-05-10,16:00,Washing Machine,500,0.88,0.44,0.062
2025-05-10,08:00,Water Pump,750,0.59,0.443,0.062
2025-05-10,13:00,Microwave,1100,0.21,0.231,0.032
2025-05-10,08:00,Electric Oven,2200,0.3,0.66,0.092
2025-05-10,07:00,Electric Oven,2200,0.35,0.77,0.108
2025-05-10,15:00,Computer,200,3.28,0.656,0.092
2025-05-10,10:00,Laptop,65,4.77,0.31,0.043
2025-05-10,13:00,Kitchen Appliances,800,1.12,0.896,0.125
2025-05-10,13:00,Kitchen Appliances,800,1.13,0.904,0.127
2025-05-10,18:00,Other Appliances,100,2.24,0.224,0.031
2025-05-11,15:00,Air Conditioner,1500,3.46,5.19,0.727
2025-05-11,15:00,Electric Fan,75,4.08,0.306,0.043
2025-05-11,19:00,Water Heater,2000,0.5,1.0,0.14
2025-05-11,12:00,Refrigerator,150,24.0,3.6,0.504
2025-05-11,19:00,Television,120,4.37,0.524,0.073
2025-05-11,20:00,Lights,60,6.46,0.388,0.054
2025-05-11,06:00,Water Pump,750,0.64,0.48,0.067
2025-05-11,20:00,Microwave,1100,0.28,0.308,0.043
2025-05-11,13:00,Microwave,1100,0.22,0.242,0.034
2025-05-11,07:00,Microwave,1100,0.2,0.22,0.031
2025-05-11,07:00,Electric Oven,2200,0.33,0.726,0.102
2025-05-11,21:00,Computer,200,3.41,0.682,0.095
2025-05-11,09:00,Laptop,65,5.1,0.332,0.046
2025-05-11,07:00,Kitchen Appliances,800,0.9,0.72,0.101
2025-05-11,12:00,Other Appliances,100,2.03,0.203,0.028
2025-05-12,15:00,Air Conditioner,1500,2.31,3.465,0.485
2025-05-12,14:00,Electric Fan,75,3.75,0.281,0.039
2025-05-12,07:00,Water Heater,2000,0.45,0.9,0.126
2025-05-12,12:00,Refrigerator,150,22.46,3.369,0.472
2025-05-12,21:00,Television,120,3.79,0.455,0.064
2025-05-12,07:00,Lights,60,4.43,0.266,0.037
2025-05-12,10:00,Washing Machine,500,0.96,0.48,0.067
2025-05-12,07:00,Water Pump,750,0.46,0.345,0.048
2025-05-12,13:00,Microwave,1100,0.2,0.22,0.031
2025-05-12,08:00,Microwave,1100,0.26,0.286,0.04
2025-05-12,07:00,Electric Oven,2200,0.41,0.902,0.126
2025-05-12,19:00,Electric Oven,2200,0.31,0.682,0.095
2025-05-12,09:00,Computer,200,3.36,0.672,0.094
2025-05-12,09:00,Laptop,65,3.53,0.229,0.032
2025-05-12,13:00,Kitchen Appliances,800,1.07,0.856,0.12
2025-05-12,08:00,Kitchen Appliances,800,0.9,0.72,0.101
2025-05-12,20:00,Kitchen Appliances,800,1.13,0.904,0.127
2025-05-12,18:00,Other Appliances,100,1.75,0.175,0.025
2025-05-13,13:00,Air Conditioner,1500,2.75,4.125,0.578
2025-05-13,22:00,Electric Fan,75,3.94,0.295,0.041
2025-05-13,20:00,Water Heater,2000,0.48,0.96,0.134
