Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-11-01,22:00,Air Conditioner,1500,1.53,2.295,0.321
2025-11-01,22:00,Electric Fan,75,1.84,0.138,0.019
2025-11-01,20:00,Water Heater,2000,1.57,3.14,0.44
2025-11-01,00:00,Refrigerator,150,23.93,3.59,0.503
2025-11-01,20:00,Television,120,4.47,0.536,0.075
2025-11-01,19:00,Lights,60,6.34,0.38,0.053
2025-11-01,08:00,Water Pump,750,0.55,0.413,0.058
2025-11-01,07:00,Microwave,1100,0.19,0.209,0.029
2025-11-01,19:00,Microwave,1100,0.28,0.308,0.043
2025-11-01,19:00,Electric Oven,2200,0.33,0.726,0.102
2025-11-01,07:00,Electric Oven,2200,0.44,0.968,0.136
2025-11-01,19:00,Electric Oven,2200,0.52,1.144,0.16
2025-11-01,20:00,Computer,200,3.51,0.702,0.098
2025-11-01,20:00,Laptop,65,4.43,0.288,0.04
2025-11-01,07:00,Kitchen Appliances,800,1.05,0.84,0.118
2025-11-01,00:00,Other Appliances,100,2.35,0.235,
2025-11-02,14:00,Air Conditioner,1500,1.57,2.355,0.33
2025-11-02,22:00,Electric Fan,75,1.76,0.132,0.018
2025-11-02,20:00,Water Heater,2000,1.47,2.94,0.412
2025-11-02,00:00,Refrigerator,150,24.0,3.6,0.504
2025-11-02,20:00,Television,120,3.84,0.461,0.065
2025-11-02,21:00,Lights,60,6.36,0.382,0.053
2025-11-02,17:00,Washing Machine,500,0.75,0.375,0.053
2025-11-02,06:00,Water Pump,750,0.6,0.45,0.063
2025-11-02,13:00,Microwave,1100,0.18,0.198,0.028
2025-11-02,19:00,Electric Oven,2200,0.47,1.034,0.145
2025-11-02,13:00,Electric Oven,2200,0.48,1.056,0.148
2025-11-02,13:00,Electric Oven,2200,0.37,0.814,0.114
2025-11-02,10:00,Computer,200,3.3,0.66,0.092
2025-11-02,09:00,Laptop,65,4.29,0.279,0.039
2025-11-02,20:00,Kitchen Appliances,800,0.83,0.664,0.093
2025-11-02,18:00,Other Appliances,100,2.4,0.24,0.034
2025-11-03,14:00,Air Conditioner,1500,1.29,1.935,0.271
2025-11-03,13:00,Electric Fan,75,1.77,0.133,0.019
2025-11-03,07:00,Water Heater,2000,1.14,2.28,0.319
2025-11-03,12:00,Refrigerator,150,22.68,3.402,0.476
2025-11-03,21:00,Television,120,3.08,0.37,0.052
2025-11-03,20:00,Lights,60,4.39,0.263,0.037
2025-11-03,17:00,Washing Machine,500,0.67,0.335,0.047
2025-11-03,08:00,Water Pump,750,0.46,0.345,0.048
2025-11-03,13:00,Microwave,1100,0.3,0.33,0.046
2025-11-03,08:00,Microwave,1100,0.29,0.319,0.045
2025-11-03,13:00,Electric Oven,2200,0.33,0.726,0.102
2025-11-03,21:00,Computer,200,3.37,0.674,0.094
2025-11-03,14:00,Laptop,65,4.17,0.271,0.038
2025-11-03,07:00,Kitchen Appliances,800,0.82,0.656,0.092
2025-11-03,18:00,Other Appliances,100,2.13,0.213,0.03
2025-11-04,14:00,Air Conditioner,1500,1.33,1.995,0.279
2025-11-04,21:00,Electric Fan,75,1.7,0.128,0.018
2025-11-04,07:00,Water Heater,2000,1.15,2.3,0.322
2025-11-04,00:00,Refrigerator,150,24.0,3.6,0.504
2025-11-04,21:00,Television,120,3.86,0.463,0.065
2025-11-04,19:00,Lights,60,5.47,0.328,0.046
2025-11-04,06:00,Water Pump,750,0.47,0.352,0.049
2025-11-04,08:00,Microwave,1100,0.21,0.231,0.032
2025-11-04,08:00,Electric Oven,2200,0.29,0.638,0.089
2025-11-04,08:00,Electric Oven,2200,0.48,1.056,0.148
2025-11-04,10:00,Computer,200,2.77,0.554,0.078
2025-11-04,10:00,Laptop,65,3.93,0.255,0.036
2025-11-04,17:00,Iron,1100,0.38,0.418,0.059
2025-11-04,20:00,Kitchen Appliances,800,1.03,0.824,0.115
2025-11-04,08:00,Kitchen Appliances,800,0.82,0.656,0.092
2025-11-04,20:00,Kitchen Appliances,800,1.21,0.968,0.136
2025-11-04,18:00,Other Appliances,100,1.94,0.194,0.027
2025-11-05,22:00,Air Conditioner,1500,1.29,1.935,0.271
2025-11-05,15:00,Electric Fan,75,1.74,0.131,0.018
2025-11-05,19:00,Water Heater,2000,1.31,2.62,0.367
2025-11-05,12:00,Refrigerator,150,23.51,3.527,0.494
2025-11-05,19:00,Television,120,3.92,0.47,0.066
2025-11-05,19:00,Lights,60,4.73,0.284,0.04
2025-11-05,08:00,Water Pump,750,0.47,0.352,0.049
2025-11-05,20:00,Microwave,1100,0.19,0.209,0.029
2025-11-05,20:00,Electric Oven,2200,0.31,0.682,0.095
2025-11-05,13:00,Electric Oven,2200,0.33,0.726,0.102
2025-11-05,21:00,Computer,200,3.2,0.64,0.09
2025-11-05,10:00,Laptop,65,4.57,0.297,0.042
2025-11-05,19:00,Kitchen Appliances,800,1.0,0.8,0.112
