Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-10-01,15:00,Air Conditioner,1500,2.27,3.405,0.477
2025-10-01,21:00,Electric Fan,75,2.86,0.214,0.03
2025-10-01,20:00,Water Heater,2000,0.74,1.48,0.207
2025-10-01,00:00,Refrigerator,150,21.91,3.287,0.46
2025-10-01,19:00,Television,120,3.8,0.456,0.064
2025-10-01,21:00,Lights,60,4.39,0.263,0.037
2025-10-01,16:00,Washing Machine,500,0.93,0.465,0.065
2025-10-01,06:00,Water Pump,750,0.44,0.33,0.046
2025-10-01,19:00,Microwave,1100,0.24,0.264,0.037
2025-10-01,20:00,Microwave,1100,0.22,0.242,0.034
2025-10-01,08:00,Microwave,1100,0.29,0.319,0.045
2025-10-01,19:00,Electric Oven,2200,0.47,1.034,0.145
2025-10-01,20:00,Electric Oven,2200,0.37,0.814,0.114
2025-10-01,07:00,Electric Oven,2200,0.36,0.792,0.111
2025-10-01,10:00,Computer,200,3.34,0.668,0.094
2025-10-01,21:00,Laptop,65,4.55,0.296,0.041
2025-10-01,13:00,Kitchen Appliances,800,0.99,0.792,0.111
2025-10-01,20:00,Kitchen Appliances,800,1.11,0.888,0.124
2025-10-01,13:00,Kitchen Appliances,800,1.24,0.992,0.139
2025-10-01,12:00,Other Appliances,100,1.81,0.181,0.025
2025-10-02,22:00,Air Conditioner,1500,2.32,3.48,0.487
2025-10-02,20:00,Electric Fan,75,2.67,0.2,0.028
2025-10-02,07:00,Water Heater,2000,0.66,1.32,0.185
2025-10-02,06:00,Refrigerator,150,23.15,3.473,0.486
2025-10-02,19:00,Television,120,3.95,0.474,0.066
2025-10-02,19:00,Lights,60,4.54,0.272,0.038
2025-10-02,10:00,Washing Machine,500,0.72,0.36,0.05
2025-10-02,07:00,Water Pump,750,0.56,0.42,0.059
2025-10-02,07:00,Microwave,1100,0.27,0.297,0.042
2025-10-02,13:00,Electric Oven,2200,0.38,0.836,0.117
2025-10-02,07:00,Electric Oven,2200,0.35,0.77,0.108
2025-10-02,07:00,Electric Oven,2200,0.51,1.122,0.157
2025-10-02,15:00,Computer,200,3.33,0.666,0.093
2025-10-02,21:00,Laptop,65,4.6,0.299,0.042
2025-10-02,10:00,Iron,1100,0.35,0.385,0.054
2025-10-02,08:00,Kitchen Appliances,800,1.07,0.856,0.12
2025-10-02,06:00,Other Appliances,100,2.12,0.212,0.03
2025-10-03,14:00,Air Conditioner,1500,2.33,3.495,0.489
2025-10-03,13:00,Electric Fan,75,2.45,0.184,0.026
2025-10-03,06:00,Water Heater,2000,0.62,1.24,0.174
2025-10-03,12:00,Refrigerator,150,22.66,3.399,0.476
2025-10-03,19:00,Television,120,4.01,0.481,0.067
2025-10-03,06:00,Lights,60,5.23,0.314,0.044
2025-10-03,08:00,Water Pump,750,0.56,0.42,0.059
2025-10-03,19:00,Microwave,1100,0.25,0.275,0.039
2025-10-03,07:00,Microwave,1100,0.24,0.264,0.037
2025-10-03,07:00,Electric Oven,2200,0.45,0.99,0.139
2025-10-03,09:00,Computer,200,2.71,0.542,0.076
2025-10-03,10:00,Laptop,65,3.73,0.242,0.034
2025-10-03,20:00,Kitchen Appliances,800,0.89,0.712,0.1
2025-10-03,12:00,Other Appliances,100,1.91,0.191,0.027
2025-10-04,22:00,Air Conditioner,1500,2.39,3.585,0.502
2025-10-04,20:00,Electric Fan,75,2.82,0.211,0.03
2025-10-04,06:00,Water Heater,2000,0.73,1.46,0.204
2025-10-04,00:00,Refrigerator,150,24.0,3.6,0.504
2025-10-04,21:00,Television,120,3.65,0.438,0.061
2025-10-04,06:00,Lights,60,5.97,0.358,0.05
2025-10-04,07:00,Water Pump,750,0.53,0.398,0.056
2025-10-04,08:00,Microwave,1100,0.22,0.242,0.034
2025-10-04,19:00,Electric Oven,2200,0.35,0.77,0.108
2025-10-04,10:00,Computer,200,3.66,0.732,0.102
2025-10-04,20:00,Laptop,65,4.29,0.279,0.039
2025-10-04,11:00,Iron,1100,0.27,0.297,0.042
2025-10-04,19:00,Kitchen Appliances,800,0.86,0.688,0.096
2025-10-04,19:00,Kitchen Appliances,800,0.86,0.688,0.096
2025-10-04,12:00,Other Appliances,100,2.2,0.22,0.031
2025-10-05,22:00,Air Conditioner,1500,2.31,3.465,0.485
2025-10-05,22:00,Electric Fan,75,3.24,0.243,0.034
2025-10-05,07:00,Water Heater,2000,0.87,1.74,0.244
2025-10-05,18:00,Refrigerator,150,23.76,3.564,0.499
2025-10-05,21:00,Television,120,3.61,0.433,0.061
2025-10-05,20:00,Lights,60,5.25,0.315,0.044
2025-10-05,06:00,Water Pump,750,0.63,0.472,0.066
2025-10-05,08:00,Microwave,1100,0.19,0.209,0.029
2025-10-05,19:00,Microwave,1100,0.21,0.231,0.032
2025-10-05,08:00,Electric Oven,2200,0.4,0.88,0.123
2025-10-05,15:00,Computer,200,3.42,0.684,0.096
2025-10-05,14:00,Laptop,65,4.72,0.307,0.043
2025-10-05,13:00,Kitchen Appliances,800,1.12,0.896,0.125
2025-10-05,07:00,Kitchen Appliances,800,1.22,0.976,0.137
2025-10-05,18:00,Other Appliances,100,2.06,0.206,0.029
2025-10-06,22:00,Air Conditioner,1500,2.0,3.0,0.42
2025-10-06,14:00,Electric Fan,75,3.14,0.235,0.033
2025-10-06,19:00,Water Heater,2000,0.81,1.62,0.227
2025-10-06,06:00,Refrigerator,150,21.57,3.236,0.453
2025-10-06,20:00,Television,120,3.76,0.451,0.063
2025-10-06,20:00,Lights,60,5.46,0.328,0.046
2025-10-06,07:00,Water Pump,750,0.53,0.398,0.056
2025-10-06,20:00,Microwave,1100,0.28,0.308,0.043
2025-10-06,19:00,Microwave,1100,0.23,0.253,0.035
2025-10-06,20:00,Electric Oven,2200,0.46,1.012,0.142
2025-10-06,15:00,Computer,200,2.65,0.53,0.074
2025-10-06,20:00,Laptop,65,4.33,0.281,0.039
2025-10-06,16:00,Iron,1100,0.32,0.352,0.049
2025-10-06,20:00,Kitchen Appliances,800,1.27,1.016,0.142
2025-10-06,06:00,Other Appliances,100,2.15,0.215,0.03
2025-10-07,13:00,Air Conditioner,1500,2.2,3.3,0.462
2025-10-07,15:00,Electric Fan,75,3.2,0.24,0.034
2025-10-07,07:00,Water Heater,2000,0.78,1.56,0.218
2025-10-07,18:00,Refrigerator,150,24.0,3.6,0.504
2025-10-07,20:00,Television,120,3.39,0.407,0.057
2025-10-07,07:00,Lights,60,4.25,0.255,0.036
2025-10-07,11:00,Washing Machine,500,0.72,0.36,0.05
2025-10-07,06:00,Water Pump,750,0.46,0.345,0.048
2025-10-07,20:00,Microwave,1100,0.2,0.22,0.031
2025-10-07,08:00,Electric Oven,2200,0.28,0.616,
2025-10-07,19:00,Electric Oven,2200,0.36,0.792,0.111
2025-10-07,15:00,Computer,200,3.04,0.608,0.085
2025-10-07,15:00,Laptop,65,4.24,0.276,0.039
