Date,Time,Appliance,Power_Watts,Duration_Hours,Energy_kWh,Cost
2025-09-01,21:00,Air Conditioner,1500,3.66,5.49,0.769
2025-09-01,20:00,Electric Fan,75,4.01,0.301,0.042
2025-09-01,19:00,Water Heater,2000,0.33,0.66,0.092
2025-09-01,12:00,Refrigerator,150,23.45,3.518,0.493
2025-09-01,21:00,Television,120,3.97,0.476,0.067
2025-09-01,07:00,Lights,60,5.22,0.313,0.044
2025-09-01,10:00,Washing Machine,500,0.64,0.32,0.045
2025-09-01,06:00,Water Pump,750,0.56,0.42,0.059
2025-09-01,19:00,Microwave,1100,0.27,0.297,0.042
2025-09-01,07:00,Microwave,1100,0.23,0.253,0.035
2025-09-01,07:00,Microwave,1100,0.31,0.341,0.048
2025-09-01,20:00,Electric Oven,2200,0.32,0.704,0.099
2025-09-01,14:00,Computer,200,2.94,0.588,0.082
2025-09-01,14:00,Laptop,65,3.46,0.225,0.032
2025-09-01,17:00,Iron,1100,0.3,0.33,0.046
2025-09-01,20:00,Kitchen Appliances,800,0.94,0.752,0.105
2025-09-01,18:00,Other Appliances,100,1.87,0.187,0.026
2025-09-02,13:00,Air Conditioner,1500,3.32,4.98,0.697
2025-09-02,22:00,Electric Fan,75,4.64,0.348,0.049
2025-09-02,06:00,Water Heater,2000,0.33,0.66,0.092
2025-09-02,00:00,Refrigerator,150,21.98,3.297,0.462
2025-09-02,21:00,Television,120,3.91,0.469,0.066
2025-09-02,06:00,Lights,60,4.65,0.279,0.039
2025-09-02,17:00,Washing Machine,500,0.93,0.465,0.065
2025-09-02,06:00,Water Pump,750,0.48,0.36,0.05
2025-09-02,08:00,Microwave,1100,0.25,0.275,0.039
2025-09-02,13:00,Microwave,1100,0.29,0.319,0.045
2025-09-02,07:00,Electric Oven,2200,0.46,1.012,0.142
2025-09-02,20:00,Electric Oven,2200,0.32,0.704,0.099
2025-09-02,14:00,Computer,200,2.98,0.596,0.083
2025-09-02,21:00,Laptop,65,4.42,0.287,0.04
2025-09-02,11:00,Iron,1100,0.25,0.275,0.039
2025-09-02,07:00,Kitchen Appliances,800,0.79,0.632,0.088
2025-09-02,19:00,Kitchen Appliances,800,1.1,0.88,0.123
2025-09-02,08:00,Kitchen Appliances,800,0.9,0.72,0.101
2025-09-02,00:00,Other Appliances,100,2.28,0.228,0.032
2025-09-03,13:00,Air Conditioner,1500,2.97,4.455,0.624
2025-09-03,20:00,Electric Fan,75,4.52,0.339,0.047
2025-09-03,20:00,Water Heater,2000,0.37,0.74,0.104
2025-09-03,18:00,Refrigerator,150,24.0,3.6,0.504
2025-09-03,19:00,Television,120,3.09,0.371,0.052
2025-09-03,19:00,Lights,60,5.1,0.306,0.043
2025-09-03,06:00,Water Pump,750,0.45,0.338,0.047
2025-09-03,13:00,Microwave,1100,0.22,0.242,0.034
2025-09-03,13:00,Electric Oven,2200,0.52,1.144,0.16
2025-09-03,13:00,Electric Oven,2200,0.44,0.968,0.136
2025-09-03,09:00,Computer,200,2.88,0.576,0.081
2025-09-03,14:00,Laptop,65,4.39,0.285,0.04
2025-09-03,20:00,Kitchen Appliances,800,0.77,0.616,0.086
2025-09-03,07:00,Kitchen Appliances,800,1.14,0.912,0.128
2025-09-03,19:00,Kitchen Appliances,800,0.79,0.632,0.088
2025-09-03,06:00,Other Appliances,100,2.21,0.221,0.031
2025-09-04,13:00,Air Conditioner,1500,3.16,4.74,0.664
2025-09-04,22:00,Electric Fan,75,4.06,0.304,0.043
2025-09-04,20:00,Water Heater,2000,0.38,0.76,0.106
2025-09-04,00:00,Refrigerator,150,22.99,3.448,0.483
2025-09-04,20:00,Television,120,3.18,0.382,0.053
2025-09-04,19:00,Lights,60,5.21,0.313,0.044
2025-09-04,07:00,Water Pump,750,0.56,0.42,0.059
2025-09-04,13:00,Microwave,1100,0.21,0.231,0.032
2025-09-04,13:00,Electric Oven,2200,0.42,0.924,0.129
2025-09-04,07:00,Electric Oven,2200,0.35,0.77,0.108
2025-09-04,13:00,Electric Oven,2200,0.42,0.924,0.129
2025-09-04,09:00,Computer,200,3.3,0.66,0.092
2025-09-04,15:00,,65,3.92,0.255,0.036
2025-09-04,19:00,Kitchen Appliances,800,1.28,1.024,0.143
2025-09-04,06:00,Other Appliances,100,2.26,0.226,0.032
2025-09-05,14:00,Air Conditioner,1500,3.27,4.905,0.687
2025-09-05,15:00,Electric Fan,75,4.43,0.332,0.046
2025-09-05,07:00,Water Heater,2000,0.37,0.74,0.104
2025-09-05,12:00,Refrigerator,150,22.59,3.389,0.474
2025-09-05,20:00,Television,120,3.04,0.365,0.051
2025-09-05,06:00,Lights,60,4.27,0.256,0.036
2025-09-05,07:00,Water Pump,750,0.44,0.33,0.046
2025-09-05,07:00,Microwave,1100,0.23,0.253,0.035
2025-09-05,08:00,Microwave,1100,0.18,0.198,0.028
2025-09-05,13:00,Microwave,1100,0.23,0.253,0.035
2025-09-05,13:00,Electric Oven,2200,0.51,1.122,0.157
2025-09-05,21:00,Computer,200,2.68,0.536,0.075
2025-09-05,20:00,Laptop,65,3.64,0.237,0.033
2025-09-05,16:00,Iron,1100,0.24,0.264,0.037
2025-09-05,07:00,Kitchen Appliances,800,0.95,0.76,0.106
2025-09-05,13:00,Kitchen Appliances,800,1.24,0.992,0.139
2025-09-05,08:00,Kitchen Appliances,800,1.06,0.848,0.119
2025-09-05,12:00,Other Appliances,100,2.04,0.204,0.029
2025-09-06,14:00,Air Conditioner,1500,4.14,6.21,0.869
2025-09-06,14:00,Electric Fan,75,5.34,0.401,0.056
2025-09-06,20:00,Water Heater,2000,0.38,0.76,0.106
2025-09-06,12:00,Refrigerator,150,24.0,3.6,0.504
2025-09-06,20:00,Television,120,3.79,0.455,0.064
2025-09-06,20:00,Lights,60,5.86,0.352,0.049
2025-09-06,17:00,Washing Machine,500,0.93,0.465,0.065
2025-09-06,08:00,Water Pump,750,0.51,0.383,0.054
2025-09-06,13:00,Microwave,1100,0.25,0.275,0.039
2025-09-06,19:00,Microwave,1100,0.25,0.275,0.039
2025-09-06,20:00,Electric Oven,2200,0.39,0.858,0.12
2025-09-06,19:00,Electric Oven,2200,0.29,0.638,0.089
2025-09-06,08:00,Electric Oven,2200,0.3,0.66,0.092
2025-09-06,14:00,Computer,200,3.57,0.714,0.1
2025-09-06,20:00,Laptop,65,5.0,0.325,0.046
2025-09-06,16:00,Iron,1100,0.32,0.352,0.049
2025-09-06,07:00,Kitchen Appliances,800,0.78,0.624,0.087
2025-09-06,20:00,Kitchen Appliances,800,0.98,0.784,0.11
2025-09-06,07:00,Kitchen Appliances,800,0.98,0.784,0.11
2025-09-06,12:00,Other Appliances,100,2.01,0.201,0.028
2025-09-07,22:00,Air Conditioner,1500,4.17,6.255,0.876
2025-09-07,21:00,Electric Fan,75,4.46,0.335,0.047
2025-09-07,19:00,Water Heater,2000,0.36,0.72,0.101
2025-09-07,12:00,Refrigerator,150,24.0,3.6,0.504
2025-09-07,19:00,Television,120,4.46,0.535,0.075
2025-09-07,21:00,Lights,60,6.16,0.37,0.052
2025-09-07,11:00,Washing Machine,500,0.68,0.34,0.048
2025-09-07,07:00,Water Pump,750,0.59,0.443,0.062
2025-09-07,13:00,Microwave,1100,0.22,0.242,0.034
2025-09-07,20:00,Electric Oven,2200,0.47,1.034,0.145
2025-09-07,09:00,Computer,200,3.64,0.728,0.102
2025-09-07,10:00,Laptop,65,4.0,0.26,0.036
2025-09-07,11:00,Iron,1100,0.25,0.275,0.039
2025-09-07,19:00,Kitchen Appliances,800,1.2,0.96,0.134
2025-09-07,00:00,Other Appliances,100,2.22,0.222,0.031
2025-09-08,20:00,Air Conditioner,1500,3.1,4.65,0.651
2025-09-08,14:00,Electric Fan,75,5.04,0.378,0.053
2025-09-08,19:00,Water Heater,2000,0.4,0.8,0.112
2025-09-08,18:00,Refrigerator,150,24.0,3.6,0.504
2025-09-08,21:00,Television,120,3.88,0.466,0.065
2025-09-08,07:00,Lights,60,4.43,0.266,0.037
2025-09-08,11:00,Washing Machine,500,0.91,0.455,0.064
2025-09-08,08:00,Water Pump,750,0.45,0.338,0.047
2025-09-08,13:00,Microwave,1100,0.25,0.275,0.039
2025-09-08,19:00,Electric Oven,2200,0.51,1.122,0.157
2025-09-08,14:00,Computer,200,2.88,0.576,0.081
2025-09-08,21:00,Laptop,65,3.87,0.252,0.035
2025-09-08,19:00,Kitchen Appliances,800,0.72,0.576,0.081
2025-09-08,18:00,Other Appliances,100,1.77,0.177,0.025
2025-09-09,15:00,Air Conditioner,1500,2.82,4.23,0.592
2025-09-09,22:00,Electric Fan,75,3.78,0.283,0.04
2025-09-09,20:00,Water Heater,2000,0.4,0.8,0.112
2025-09-09,12:00,Refrigerator,150,20.71,3.107,0.435
2025-09-09,20:00,Television,120,3.99,0.479,0.067
2025-09-09,20:00,Lights,60,5.57,0.334,0.047
2025-09-09,08:00,Water Pump,750,0.48,0.36,0.05
2025-09-09,08:00,Microwave,1100,0.25,0.275,0.039
2025-09-09,13:00,Microwave,1100,0.27,0.297,0.042
2025-09-09,20:00,Microwave,1100,0.27,0.297,0.042
2025-09-09,13:00,Electric Oven,2200,0.35,0.77,0.108
2025-09-09,09:00,Computer,200,3.38,0.676,0.095
2025-09-09,21:00,Laptop,65,4.5,0.292,0.041
2025-09-09,20:00,Kitchen Appliances,800,1.05,0.84,0.118
2025-09-09,12:00,Other Appliances,100,2.17,0.217,0.03
2025-09-10,15:00,Air Conditioner,1500,2.93,4.395,0.615
2025-09-10,21:00,Electric Fan,75,4.52,0.339,0.047
2025-09-10,20:00,Water Heater,2000,0.34,0.68,0.095
2025-09-10,00:00,Refrigerator,150,20.89,3.134,0.439
2025-09-10,19:00,Television,120,3.87,0.464,0.065
2025-09-10,06:00,Lights,60,4.6,0.276,0.039
2025-09-10,06:00,Water Pump,750,0.47,0.352,0.049
2025-09-10,08:00,Microwave,1100,0.19,0.209,0.029
2025-09-10,19:00,Electric Oven,2200,0.46,1.012,0.142
2025-09-10,07:00,Electric Oven,2200,0.5,1.1,0.154
2025-09-10,07:00,Electric Oven,2200,0.43,0.946,0.132
2025-09-10,21:00,Computer,200,2.58,0.516,0.072
2025-09-10,14:00,Laptop,65,3.49,0.227,0.032
2025-09-10,19:00,Kitchen Appliances,800,0.76,0.608,0.085
2025-09-10,20:00,Kitchen Appliances,800,0.93,0.744,0.104
2025-09-10,06:00,Other Appliances,100,2.03,0.203,0.028
2025-09-11,20:00,Air Conditioner,1500,3.05,4.575,0.641
2025-09-11,14:00,Electric Fan,75,4.64,0.348,0.049
2025-09-11,07:00,Water Heater,2000,0.33,0.66,0.092
2025-09-11,06:00,Refrigerator,150,23.53,3.53,0.494
2025-09-11,19:00,Television,120,3.07,0.368,0.052
2025-09-11,06:00,Lights,60,5.19,0.311,0.044
2025-09-11,07:00,Water Pump,750,0.56,0.42,0.059
2025-09-11,20:00,Microwave,1100,0.23,0.253,0.035
2025-09-11,19:00,Electric Oven,2200,0.42,0.924,0.129
2025-09-11,14:00,Computer,200,3.0,0.6,0.084
2025-09-11,20:00,Laptop,65,4.14,0.269,0.038
2025-09-11,20:00,Kitchen Appliances,800,1.22,0.976,0.137
2025-09-11,20:00,Kitchen Appliances,800,0.75,0.6,0.084
2025-09-11,07:00,Kitchen Appliances,800,0.88,0.704,0.099
2025-09-11,00:00,Other Appliances,100,2.0,0.2,0.028
2025-09-12,15:00,Air Conditioner,1500,3.4,5.1,0.714
2025-09-12,15:00,Electric Fan,75,3.77,0.283,0.04
2025-09-12,19:00,Water Heater,2000,0.41,0.82,0.115
2025-09-12,12:00,Refrigerator,150,23.21,3.482,0.487
2025-09-12,19:00,Television,120,3.05,0.366,0.051
2025-09-12,06:00,Lights,60,5.7,0.342,0.048
